title;year;rating;studio;duration;must_see;metascore;user_score;number_critics;number_users;genre;director;writer;summary
Harry Potter and the Prisoner of Azkaban;2004;PG;Warner Bros.;2 h 22 m;True;82;8.4;40;1.0;Adventure, Family, Fantasy, Mystery;Alfonso Cuarón;J.K. Rowling, Steve Kloves;In Harry Potter and the Prisoner of Azkaban, Harry, Ron and Hermione, now teenagers, return for their third year at Hogwarts, where they are forced to face escaped prisoner, Sirius Black, who poses a great threat to Harry. Harry and his friends spend their third year learning how to handle a half-horse half-eagle Hippogriff, repel shape-shifting Boggarts and master the art of Divination. They also visit the wizarding village of Hogsmeade and the Shrieking Shack, which is considered the most haunted building in Britain. In addition to these new experiences, Harry must overcome the threats of the soul-sucking Dementors, outsmart a dangerous werewolf and finally deal with the truth about Sirius Black and his relationship to Harry and his parents. With his best friends, Harry masters advanced magic, crosses the barriers of time and changes the course of more than one life. [Warner Bros.].
La Promesse (The Promise);1997;Not Rated;New Yorker Films;1 h 32 m;True;82;8.2;17;12.0;Drama;Jean-Pierre Dardenne, Luc Dardenne;Leon Michaux, Alphonse Badolo, Luc Dardenne, Jean-Pierre Dardenne;Igor and his father, Roger, are making a decent living renting apartments to illegal immigrants and sometimes working them illegally (among other scams). But when the building inspector pays a surprise visit and Amidou falls off a scaffold in his hurry to hide, things start to unravel, particularly when Igor makes a promise to the injured Amidou that ultimately exposes the different values of Igor and Roger, and of Amidou's wife, Assita..
Levitated Mass;2014;;First Run Features;1 h 28 m;False;82;tbd;7;;Documentary, Biography, History, News;Doug Pray;;Prominently displayed outside the Los Angeles County Museum of Art (LACMA), land artist Michael Heizer’s Levitated Mass gained worldwide recognition during its installation in 2012. Over 10 nights, a 340-ton solid granite boulder crawled through Southern California neighborhoods on a 294-foot-long, 206-wheeled trailer. Thousands of people came out to watch it travel through their communities. It is one of the only pieces of art in recent history to inspire such a reaction in pop culture. The film masterfully interweaves this artist's biography, the dreams of a major museum, and the uniting of a city, examining the perennial question: what is art? [First Run Features].
Michael Clayton;2007;R;Warner Bros.;1 h 59 m;True;82;8.1;36;215.0;Crime, Drama, Mystery, Thriller;Tony Gilroy;Tony Gilroy;"Michael Clayton (George Clooney) is an in-house ""fixer"" at one of the largest corporate law firms in New York. At the behest of the firm’s co-founder Marty Bach, Clayton, a former prosecutor from a family of cops, takes care of Kenner, Bach & Ledeen’s dirtiest work.  Clayton cleans up clients’ messes, handling anything from hit-and-runs and damaging stories in the press to shoplifting wives and crooked politicians. Burned out and discontented in his job, Clayton is inextricably tied to the firm.  At the agrochemical company U/North, the career of in-house chief counsel Karen Crowder rests on the settlement of the suit that Kenner, Bach & Ledeen is leading to a seemingly successful conclusion.  When the firms top litigator, the brilliant Arthur Edens, has an apparent breakdown and tries to sabotage the entire case, Marty Back sends Michael Clayton to tackle this unprecedented disaster and in doing so, Clayton comes face to face with the reality of what he has become. (Warner Bros.)."
Downfall;2005;R;Newmarket Films;2 h 36 m;True;82;8.5;35;247.0;Biography, Drama, History, War;Oliver Hirschbiegel;Bernd Eichinger, Joachim Fest, Traudl Junge, Melissa Müller;A portrait of Hitler's final days in his Berlin bunker at the end of WWII.
Knives Out;2019;PG-13;Lionsgate Films;2 h 10 m;True;82;7.7;52;1.0;Comedy, Crime, Drama, Mystery, Thriller;Rian Johnson;Rian Johnson;When renowned crime novelist Harlan Thrombey (Christopher Plummer) is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc (Daniel Craig) is mysteriously enlisted to investigate. From Harlan’s dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan’s untimely death..
My Man Godfrey;1936;Approved;Universal Pictures;1 h 34 m;True;82;6.7;15;6.0;Comedy, Drama, Romance;Gregory La Cava;Morrie Ryskind, Eric Hatch, Zoe Akins, Robert Presnell Sr., Gregory La Cava;A scatterbrained socialite hires a vagrant as a family butler - but there's more to Godfrey than meets the eye.
The Spectacular Now;2013;R;A24;1 h 35 m;True;82;7.9;42;261.0;Drama, Romance;James Ponsoldt;Scott Neustadter, Michael H. Weber, Tim Tharp;"This is the tale of Sutter Keely, a high school senior and effortless charmer, and of how he unexpectedly falls in love with ""the good girl"" Aimee Finecky. What starts as an unlikely romance, becomes a sharp-eyed, straight-up snapshot of the heady confusion and haunting passion of youth – one that doesn’t look for tidy truths. [A24]"
Face/Off;1997;R;Paramount Pictures;2 h 18 m;True;82;8.7;26;724.0;Action, Crime, Sci-Fi, Thriller;John Woo;Mike Werb, Michael Colleary;FBI agent Sean Archer (Travolta) knows how to stop elusive terrorist Castor Troy (Cage). He'll become him. Archer undergoes a futuristic surgery and has Troy's face mapped onto his, then infiltrates the terrorist's world to discover his deadly secrets. But as much as Archer looks and acts like Troy, he doesn't really know him. He never figures Troy will retaliate and force doctors to transform him into Archer. Now the agent faces a shattering nightmare: his archrival is living with his family.  (Paramount).
Angels Are Made of Light;2019;;Grasshopper Film;1 h 57 m;False;82;tbd;9;;Documentary;James Longley;;Angels Are Made of Light traces the lives of young students and their teachers at a school in the old city of Kabul. Interweaving the modern history of Afghanistan with present-day portraits, the film offers an intimate and nuanced vision of a society living in the shadow of war.
The Endless Summer;1966;Not Rated;Cinema V;1 h 35 m;False;82;tbd;12;;Documentary, Sport;Bruce Brown;Bruce Brown;The crown jewel to ten years of Bruce Brown surfing documentaries. Brown follows two young surfers around the world in search of the perfect wave, and ends up finding quite a few in addition to some colorful local characters.
Sator;2021;Not Rated;1091 Pictures;1 h 25 m;False;82;5.7;8;13.0;Horror;Jordan Graham;Jordan Graham;"Secluded in a desolate forest home to little more than the decaying remnants of the past, a broken family is further torn apart by a mysterious death. Adam, guided by a pervasive sense of dread, hunts for answers only to learn that they are not alone; an insidious presence by the name of Sator has been observing his family, subtly influencing all of them for years in an attempt to claim them.."
Let the Right One In;2008;R;Magnet Releasing;1 h 54 m;True;82;8.5;30;429.0;Drama, Fantasy, Horror, Romance;Tomas Alfredson;John Ajvide Lindqvist;A fragile, anxious boy, 12-year-old Oskar is regularly bullied by his stronger classmates but never strikes back. The lonely boy's wish for a friend seems to come true when he meets Eli, also 12, who moves in next door to him with her father. A pale, serious young girl, she only comes out at night and doesn't seem affected by the freezing temperatures. Coinciding with Eli's arrival is a series of inexplicable disappearances and murders. One man is found tied to a tree, another frozen in the lake, a woman bitten in the neck. Blood seems to be the common denominator. But by now a subtle romance has blossomed between Oskar and Eli, and she gives him the strength to fight back against his aggressors. (Magnolia Pictures).
Rams;2016;R;Cohen Media Group;1 h 33 m;True;82;7.6;24;35.0;Drama;Grímur Hákonarson;Grímur Hákonarson;In a secluded valley in Iceland, Gummi and Kiddi live side by side, tending to their sheep. Their ancestral sheep-stock is considered one of the country’s best and the two brothers are repeatedly awarded for their prized rams who carry an ancient lineage. Although they share the land and a way of life, Gummi and Kiddi have not spoken to each other in four decades. When a lethal disease suddenly infects Kiddi’s sheep, the entire valley comes under threat. The authorities decide to cull all the animals in the area to contain the outbreak. This is a near death sentence for the farmers, whose sheep are their main source of income, and many abandon their land. But Gummi and Kiddi don’t give up so easily – and each brother tries to stave off the disaster in his own fashion: Kiddi by using his rifle and Gummi by using his wits. As the authorities close in, the brothers will need to come together to save the special breed passed down for generations, and themselves, from extinction. [Cohen Media Group].
Paris Is Burning;1991;R;Off White Productions Inc.;1 h 18 m;True;82;7.3;21;8.0;Documentary;Jennie Livingston;;A chronicle of New York's drag scene in the 1980s, focusing on balls, voguing and the ambitions and dreams of those who gave the era its warmth and vitality.
Certified Copy;2011;Not Rated;Sundance Selects;1 h 46 m;True;82;7.6;23;61.0;Drama, Romance;Abbas Kiarostami;Caroline Eliacheff, Abbas Kiarostami;"In Italy to promote his latest book, a middle-aged English writer meets a young French woman and jets off to San Gimignano with her. (IFC Films)
"
Hold Me Tight;2022;;Kino Lorber;1 h 37 m;False;82;6.4;13;9.0;Drama;Mathieu Amalric;Claudine Galea, Mathieu Amalric;In the family drama Hold Me Tight, Vicky Krieps (Phantom Thread, Bergman Island) plays Camille (Vicky Krieps) is a woman on the run from her family for reasons that aren’t immediately clear. The film alternates between Camille’s adventures on the road and scenes of her abandoned husband Marc (Arieh Worthalter) as he struggles to take care of their children at home—a structure that keeps viewers uncertain as to the reality of what they’re seeing until the film's final moments. [Kino Lorber].
Night Moves;1975;R;Warner Bros.;1 h 40 m;False;82;7.4;9;11.0;Crime, Drama, Mystery, Thriller;Arthur Penn;Alan Sharp;Los Angeles private investigator Harry Moseby is hired by a client to find her runaway teenage daughter. Moseby tracks the daughter down, only to stumble upon something much more intriguing and sinister.
The Waldheim Waltz;2018;;Menemsha Films;1 h 33 m;False;82;tbd;7;;Documentary, History;Ruth Beckermann;Ruth Beckermann;Ruth Beckermann documents the process of uncovering former UN Secretary General Kurt Waldheim’s wartime past. It shows the swift succession of new allegations by the World Jewish Congress during his Austrian presidential campaign, the denial by the Austrian political class, the outbreak of anti-Semitism and patriotism, which finally led to his election. Created from international archive material and what Beckermann shot at the time, the film shows that history repeats itself time and time again. [Menemsha Films].
