"year";"rating";"duration";"must_see";"metascore";"user_score";"number_critics";"number_users";"genre_drama";"genre_crime";"genre_mystery";"genre_romance";"genre_adventure";"genre_biography";"genre_thriller";"genre_comedy";"genre_history";"genre_documentary";"genre_others"
1976;2;3;0;93;79;8;119;1;0;1;0;0;0;0;0;0;0;1
1953;6;2;1;93;0;17;0;0;0;0;1;0;0;0;1;0;0;1
1972;0;2;1;93;82;18;9;1;0;0;0;0;0;0;0;0;0;0
1956;0;3;1;92;85;20;31;1;0;0;0;0;0;0;0;0;0;0
2016;2;2;0;92;78;14;51;0;0;0;0;0;0;0;0;0;1;1
1939;1;1;1;92;84;30;505;0;0;0;0;1;0;0;0;0;0;1
1962;6;1;0;92;0;11;0;1;0;0;0;0;0;0;0;0;0;1
2021;2;3;1;92;63;34;43;1;0;1;0;0;0;0;0;0;0;1
2007;3;2;1;92;84;36;158;1;0;0;0;0;1;0;0;0;0;0
1956;6;0;1;92;79;16;66;1;0;0;0;0;0;0;0;0;0;1
1999;0;1;1;92;86;15;30;1;1;0;0;0;1;0;0;0;0;0
2008;3;3;1;92;79;31;59;1;0;0;0;0;0;0;0;0;0;0
1933;6;1;0;92;77;13;81;0;0;0;0;1;0;0;0;0;0;1
2007;4;3;1;92;85;39;1;1;1;0;0;0;0;1;0;0;0;0
1974;4;3;1;92;86;23;387;1;0;1;0;0;0;1;0;0;0;0
2009;0;1;1;92;69;17;32;1;0;0;0;0;0;0;0;0;0;0
2019;4;3;0;92;79;7;55;1;0;1;0;0;0;0;0;0;0;1
2002;0;0;0;92;82;9;34;1;0;0;0;0;0;0;0;0;0;0
1996;4;3;1;92;84;27;54;1;0;0;0;0;0;0;1;0;0;0
2017;4;2;1;92;74;44;400;1;0;0;0;0;0;0;0;0;0;0
2015;3;1;1;92;73;31;86;1;0;0;0;0;0;0;0;0;0;1
1972;3;2;1;92;75;15;34;0;0;0;0;0;0;1;0;0;0;0
2021;0;3;1;92;0;15;0;1;0;0;0;0;0;0;0;0;0;0
1946;6;0;1;92;76;16;17;1;0;0;1;0;0;0;0;0;0;0
1967;6;3;1;92;84;16;74;1;1;0;0;0;0;0;0;0;0;0
1933;6;2;0;92;53;7;11;1;0;0;1;0;0;0;0;0;0;1
2013;0;2;1;92;83;34;131;0;1;0;0;0;1;0;0;1;1;1
2023;0;2;0;92;68;12;8;0;0;0;0;0;0;0;0;0;1;0
1997;0;2;0;92;79;8;16;1;0;0;0;0;0;0;0;0;0;0
1982;2;2;1;92;82;30;591;0;0;0;0;1;0;0;0;0;0;1
2002;0;1;0;92;78;7;37;1;0;0;1;0;0;0;0;0;0;1
2020;3;1;1;92;9;38;1;1;0;0;0;0;0;0;0;0;0;0
1977;2;1;1;92;68;20;227;0;0;0;1;0;0;0;1;0;0;0
2001;3;3;1;92;90;34;2;1;0;0;0;1;0;0;0;0;0;1
1994;3;3;1;92;84;27;123;1;0;0;0;0;1;0;0;1;0;0
2014;4;3;1;92;73;34;269;1;1;0;0;0;0;0;0;0;0;0
2001;0;3;0;92;79;8;60;1;0;1;0;0;0;0;0;0;0;0
2003;0;3;1;92;79;19;34;1;1;0;0;0;0;1;0;0;0;0
2010;1;1;1;92;87;39;1;0;0;0;0;1;0;0;1;0;0;1
1984;4;0;1;92;79;30;127;0;0;0;0;0;0;0;1;0;0;1
1990;4;3;1;92;86;21;1;1;1;0;0;0;1;0;0;0;0;0
2023;3;2;1;92;74;58;154;1;0;0;0;0;0;0;0;1;0;1
1965;0;1;0;92;0;7;0;1;0;1;0;0;0;1;0;0;0;1
2015;3;1;1;92;83;29;88;0;0;0;0;0;1;0;0;1;1;0
2016;3;0;1;92;79;22;55;0;1;0;0;0;0;0;0;0;1;1
2018;0;3;1;91;78;39;214;1;0;1;0;0;0;1;0;0;0;0
2021;0;3;1;91;74;42;151;1;0;0;0;0;0;0;0;0;0;0
2004;0;3;1;91;88;26;13;1;0;0;0;0;0;0;0;0;0;0
2014;1;2;0;91;79;14;14;1;0;0;1;0;0;0;1;0;0;0
2023;3;3;1;91;51;37;37;1;0;0;0;0;0;0;0;0;0;0
2002;4;3;1;91;82;29;18;1;0;0;0;0;0;0;0;0;0;0
1997;4;3;1;91;86;28;605;1;1;1;0;0;0;1;0;0;0;0
1994;4;0;0;91;80;11;64;1;0;0;1;0;0;0;1;0;0;0
2020;3;0;1;91;50;23;65;0;0;0;0;0;1;0;0;0;1;0
2018;0;0;0;91;66;7;5;1;0;0;0;0;0;0;0;0;0;0
2018;0;2;0;91;0;9;0;1;0;0;0;0;0;0;1;0;0;0
1956;6;0;1;91;75;15;30;1;1;0;0;0;0;1;0;0;0;1
1936;6;1;1;91;65;16;6;0;0;0;1;0;0;0;1;0;0;1
2003;4;1;1;91;80;44;612;1;0;0;0;0;0;0;1;0;0;0
